"idartist";"name";"popularity";"followers";"genre";"award";"category";"year"
"4Nrd0CtP8txoQhnnlRA6V6";Vianney;65;53;french pop;Artiste masculin;Victoires de la Musique;"2024"
"4Nrd0CtP8txoQhnnlRA6V6";Vianney;65;53;chanson;Artiste masculin;Victoires de la Musique;"2024"
"7IlRNXHjoOCgEAWN5qYksg";Aya Nakamura;68;43;r&b francais;Artiste féminine;Victoires de la Musique;"2024"
"7IlRNXHjoOCgEAWN5qYksg";Aya Nakamura;68;43;pop urbaine;Artiste féminine;Victoires de la Musique;"2024"
"7IlRNXHjoOCgEAWN5qYksg";Aya Nakamura;68;43;basshall;Artiste féminine;Victoires de la Musique;"2024"
"0vN920jukdAbErvjo2OJ2o";Zaho;56;57;r&b francais;Révélation féminine;Victoires de la Musique;"2024"
"0vN920jukdAbErvjo2OJ2o";Zaho;56;57;french pop;Révélation féminine;Victoires de la Musique;"2024"
"0wiCfDEHaEcPkKZOi7Nivl";Yamê;70;37;;Révélation masculine;Victoires de la Musique;"2024"
"5j4HeCoUlzhfWtjAfM1acR";Stromae;71;48;g-house;Artiste masculin;Victoires de la Musique;"2023"
"5j4HeCoUlzhfWtjAfM1acR";Stromae;71;48;belgian pop;Artiste masculin;Victoires de la Musique;"2023"
"3QVolfxko2UyCOtexhVTli";Angèle;64;29;variete francaise;Artiste féminine;Victoires de la Musique;"2023"
"3QVolfxko2UyCOtexhVTli";Angèle;64;29;french pop;Artiste féminine;Victoires de la Musique;"2023"
"3QVolfxko2UyCOtexhVTli";Angèle;64;29;belgian pop;Artiste féminine;Victoires de la Musique;"2023"
"13mm5rU1jvWfWG6uQ46ypd";Pierre de Maere;56;58;french pop;Révélation masculine;Victoires de la Musique;"2023"
"4FpJcNgOvIpSBeJgRg3OfN";Orelsan;65;37;rap conscient;Artiste masculin;Victoires de la Musique;"2022"
"4FpJcNgOvIpSBeJgRg3OfN";Orelsan;65;37;old school rap francais;Artiste masculin;Victoires de la Musique;"2022"
"4FpJcNgOvIpSBeJgRg3OfN";Orelsan;65;37;french hip hop;Artiste masculin;Victoires de la Musique;"2022"
"2oVrruuEI0Dr2I4NvLtQS0";Clara Luciani;56;46;french pop;Artiste féminine;Victoires de la Musique;"2022"
"2oVrruuEI0Dr2I4NvLtQS0";Clara Luciani;56;46;chanson;Artiste féminine;Victoires de la Musique;"2022"
"6M2wZ9GZgrQXHCFfjv46we";Dua Lipa;87;447;uk pop;Meilleur artiste pop;Brit Awards;"2024"
"6M2wZ9GZgrQXHCFfjv46we";Dua Lipa;87;447;pop;Meilleur artiste pop;Brit Awards;"2024"
"6M2wZ9GZgrQXHCFfjv46we";Dua Lipa;87;447;dance pop;Meilleur artiste pop;Brit Awards;"2024"
"6M2wZ9GZgrQXHCFfjv46we";Dua Lipa;87;447;uk pop;Meilleur artiste pop;Brit Awards;"2022"
"6M2wZ9GZgrQXHCFfjv46we";Dua Lipa;87;447;pop;Meilleur artiste pop;Brit Awards;"2022"
"6M2wZ9GZgrQXHCFfjv46we";Dua Lipa;87;447;dance pop;Meilleur artiste pop;Brit Awards;"2022"
"6M2wZ9GZgrQXHCFfjv46we";Dua Lipa;87;447;uk pop;Meilleur artiste solo;Brit Awards;"2021"
"6M2wZ9GZgrQXHCFfjv46we";Dua Lipa;87;447;pop;Meilleur artiste solo;Brit Awards;"2021"
"6M2wZ9GZgrQXHCFfjv46we";Dua Lipa;87;447;dance pop;Meilleur artiste solo;Brit Awards;"2021"
"6KImCVD70vtIoJWnq6nGn3";Harry Styles;84;377;pop;Meilleur artiste pop;Brit Awards;"2023"
"6KImCVD70vtIoJWnq6nGn3";Harry Styles;84;377;pop;Artiste de l'année;Brit Awards;"2023"
"6oBm8HB0yfrIc9IHbxs6in";Lykke Li;67;40;swedish pop;;;
"6oBm8HB0yfrIc9IHbxs6in";Lykke Li;67;40;swedish indie pop;;;
"6oBm8HB0yfrIc9IHbxs6in";Lykke Li;67;40;swedish electropop;;;
"6oBm8HB0yfrIc9IHbxs6in";Lykke Li;67;40;neo-synthpop;;;
"6oBm8HB0yfrIc9IHbxs6in";Lykke Li;67;40;indietronica;;;
"6oBm8HB0yfrIc9IHbxs6in";Lykke Li;67;40;electropop;;;
"5vBSrE1xujD2FXYRarbAXc";Olly Alexander (Years & Years);66;40;uk pop;;;
"5vBSrE1xujD2FXYRarbAXc";Olly Alexander (Years & Years);66;40;pop dance;;;
"5vBSrE1xujD2FXYRarbAXc";Olly Alexander (Years & Years);66;40;pop;;;
"5vBSrE1xujD2FXYRarbAXc";Olly Alexander (Years & Years);66;40;gauze pop;;;
"5vBSrE1xujD2FXYRarbAXc";Olly Alexander (Years & Years);66;40;dance pop;;;
