"iduser";"pseudo";"idtrack";"nametrack";"note"
180;Amaury2;"1OtmgzbSioyBW0iDc3oICV";CP_005_ Ok... Super...;12
5;Adrian;"57Q7jV6rr6iXeGqFdq0Vde";Christmas Rock;16
457;Florentin4;"4uiycdnkBjbmEkVhJ7krMl";Boubou;0
263;Léa2;"33AXuuLcrOwybbiZ6hcCQy";Héros;20
169;Romain;"5cXaKZblS9ala9yO3j4dAc";Baby, It's Cold Outside (feat. Ronnie Dunn);5
437;Léo2;"1wmm7YIDPMQaP5UGLQrPBk";Manon;14
442;Louna;"4fuXnmmrbdYmzbxsf51eoO";Le fruit de mon époque;15
124;Roméo;"31UnoqEFcK61DGEPmbuAc6";Au bord de la mer;17
344;Mathéo6;"2ApyiOZsliWZf4PKe1Ch2g";Picsou;19
14;Kilian;"3opEx8XXOQ9nv1tLdKhLdc";HRTBRK #7;15
77;Mathéo2;"2owmGAiz4yvWmrx5IbjPO3";Parano;14
16;Arthur;"53zvRJdmmrVagfRYMRRDUP";Movie;16
158;Bastien2;"0IFdOoQoixDsKQZUovKxY0";Blue;15
281;Florentin2;"3Vs1h1D6hipE04HhyiIWxO";Pour Garder;12
253;Théo2;"1JqxgXNhqWpFss7nZzlwOz";Giza (feat. Seyi Vibez);14
168;Kylian4;"6aiPpjeUCYBa0JmpcbYAUd";U pistulettu;2
305;Alexandre7;"1fNfgq2zXEDhQXJwxWKhJ3";Para mi dios;5
324;Gaspard3;"0KBmyn8jDx4t4H1N5gKNUu";Lucky Ones;6
269;Quentin4;"0KXhbwmPLhECjqhGkhYpic";Carry Me - Acoustic Version;19
193;Pierre3;"0w9yl9XvDzm5pFo1u43RpB";Outro;9
103;Yohan2;"0VzMGcks5EMBw3Caw9yIdP";Mal parti;8
165;Florian;"7rUJdDulOVc1C0WU8xQEJQ";O Holy Night;14
300;Louis2;"2rNBMjXeXKy6Qn31IbCsWu";Joy to the World - Rerecorded Version;3
437;Léo2;"70IdN2Bm2IXU7xReA44AOD";Frank Lucas;2
387;Prevost2;"2v3sPOCHJd76JDJKf1I2nb";Santa Baby;3
109;Hugo3;"5ffDuwF9O2KGaZPB0BTYCU";That's The Joint;9
33;Alexis;"5L9lIPrWsnPDUQ7rot773c";Ensemble;0
99;Jérémy;"4QAkqeYjgnc9bM0loULJsT";J'encaisse (feat. Karaji);5
146;Evan;"0Y4AFIHwDxuxub4nR4NE34";Wesh wesh;19
48;Nathan;"70APCdHsWV5BEsacwjzXmd";Amour toxic;13
276;Lecoq;"5YsuVORk4EQANCKVfzSibk";Sales idées;9
394;Florentin3;"26bLTp6MVT13VH5IAxoJeu";C'EST LE LOVE MAGUEULE;4
486;Guillaume5;"3QVHSV8YKYq4L8tI5rnFgj";Stepdad;18
146;Evan;"3evUvBh7vP3XxF9Fqit7fz";Au - Live;19
449;Yohan5;"0YHVHL8qSEH5BqZPd1njUz";Λ. Lové;7
268;Thibault2;"7io19rjxOFu3pGuZgBI6Pk";Drips;9
188;Guillaume;"1RtTMm63qkkpjdeYzUncVC";Shining Star;7
229;Thibault;"1V32pCGXZMgcmXd5MUMDL1";Abcdefg;7
227;Bonhomme;"0dwT3Ao581GbtLCSzX1zRz";Ghetto;0
386;Ethan4;"4FUiJJPW0bvjXVqFuTonSz";Dave Grohl;0
460;Grégory4;"7GJmqk0FPn8aYhkp1l6nZ5";Guarantee;10
383;Yanis;"6xDM0CcnanIGdzi7zpn37w";Rudolph Le Petit Renne Au Nez Rouge Karaoke;15
323;Noah5;"5Iol6n8dmMjguHDCc8WUh2";Mucho cuir;5
11;Killian;"0fxtosCAdtcBTnzOlzpAvM";Rudolph Le Petit Renne Au Nez Rouge;19
20;Yohan;"2FCxDwJwt0Fl9lvxsoFZQx";Triste;4
445;Gabriel4;"4dtXgUQj1jEa0fIOV7bFRb";Aucune limite;11
326;Killian2;"6uJDtrPiH7txU0S9YyL058";CÔTÉ HUBLOT;11
373;Mattéo4;"6vWJLIeO77uR94c60lGcI1";Plan;10
354;Maxence5;"1pdLvnO44VrMUnCxNgmNMF";Mano;17
344;Mathéo6;"1V4qOQxQKwfcw3u5Xq2Dcm";ZOMBIE;8
107;Alexis4;"0ba3E5awT0IGhCVAOTxSMu";Blue Christmas;5
15;Cédric;"6ZZf5a8oiInHDkBe9zXfLP";Curtains;12
54;Mathieu;"2m6WiP54fW7rhlDwtfogrB";J'élimine;7
267;Anaëlle2;"3Oyn3TJWFWPqh3mX9az1TG";Toujours la même;3
162;Aaron2;"4scN2nerfUFhrA2SyXExsT";Comics;12
482;Leonard;"300tML2o8yHO4WrDtG2gxO";Nothing Left To Say / Rocks - Medley;5
358;Adam2;"4hryTDEL2nyeucQdDY5pmH";Certitude;15
