"iduser";"pseudo";"idtrack";"nametrack";"datelike"
1;Benoist;"3ayqflelDSFQFn1h4Fsz19";Dans les clips;"2023-08-20"
1;Benoist;"4RtlhOoWNO5ReUwdmTdTcG";Headspace;"2023-02-04"
1;Benoist;"5UaiWpx39E60GAsoAtICoV";Árboles Bajo El Mar;"2023-07-01"
1;Benoist;"71d916cmmqGo2pZzxA4AqJ";Uwa Ni Lé;"2023-01-01"
2;Dorian;"11BKm0j4eYoCPPpCONAVwA";Bloody Mary;"2023-04-05"
2;Dorian;"2etA10mLFoJ1c0UOoeY7iZ";Christmas Is Back in Town;"2023-04-07"
2;Dorian;"2tEZmn87hKQe7EGwZgsqTS";La Sacem à Madonna;"2023-11-02"
2;Dorian;"4pS2RiGbEKQbrkeH21QuMe";Mi Barrio;"2023-01-15"
2;Dorian;"4zPVMv84MMHehLNZYIS1Zv";Barbie Girl - Tiësto Remix;"2023-03-03"
2;Dorian;"54ipXppHLA8U4yqpOFTUhr";Bones;"2023-09-18"
3;Anaëlle;"4Of7rzpRpV1mWRbhp5rAqG";Bruises;"2023-11-17"
3;Anaëlle;"6c8rVvdCyALUTZXuxdgCb0";McQueen / Givenchy;"2023-11-04"
4;Noë;"0amO17DSHauVRIGIf6Zivn";Ordinateur;"2023-07-24"
4;Noë;"4HyukTxrcVTDqFg1ECzjBp";Virus;"2023-11-06"
4;Noë;"4zPVMv84MMHehLNZYIS1Zv";Barbie Girl - Tiësto Remix;"2023-07-16"
4;Noë;"682C1KGj7SigHyZIFzP0yT";MOLLY;"2023-03-22"
5;Adrian;"1MpCaOeUWhox2Fgigbe1cL";I'M THAT GIRL;"2023-06-12"
5;Adrian;"5cJLTFZRVkrkFWiD3GXgo0";Dey Play;"2023-12-15"
5;Adrian;"5miqHxHfCGpR6W9u2uzSgj";Gloria;"2023-04-18"
6;Victor;"2Vo453mYtLPh6x7EOuMyps";A.P;"2023-03-11"
6;Victor;"5NoPoF5XdJhmGqlOemFfYt";Sirens;"2023-07-07"
6;Victor;"6R1E3mgWYUgXsEIYrRnZoA";Alive;"2023-04-19"
7;Lilian;"2V7EdfgCokWHo0636j7p29";Pas là;"2023-07-31"
7;Lilian;"3qgtLUW9olYoIIEB7yHSIm";KING;"2023-08-12"
7;Lilian;"46dmfqeT2mzwKbSBD6V2o3";Cash;"2023-07-31"
7;Lilian;"5Avril3IZ26DPVFHbJX8o6";Seven (feat. Latto) (Clean Ver.);"2023-03-03"
8;Alexandre;"0Ix1999mTT1A3TF6Bywgv5";Coming Up - Live At Glasgow / 1979 / Remastered 2011;"2023-03-20"
8;Alexandre;"14ZjIKANKmux9oHz1Rif55";Je le savais;"2023-09-16"
8;Alexandre;"1rv46mRwDqMEhOBZ7vODg3";It's Beginning to Look a Lot like Christmas;"2023-11-24"
8;Alexandre;"1yampU2t2LNWzEsCpUgHYJ";River;"2023-03-22"
