"iduser";"pseudo";"nameelement";"type";"nameelementparent";"idtrack";"nametrack";"ordre"
1;Benoist;Dossier1;Folder;;;;
1;Benoist;Dossier11;Folder;Dossier1;;;
1;Benoist;Dossier12;Folder;Dossier1;;;
1;Benoist;Dossier121;Folder;Dossier12;;;
1;Benoist;Dossier2;Folder;;;;
1;Benoist;Dossier21;Folder;Dossier2;;;
1;Benoist;Dossier22;Folder;Dossier2;;;
1;Benoist;Dossier23;Folder;Dossier2;;;
1;Benoist;playlist1 de Benoist;Playlist;Dossier11;"7GqKsFVvsP3SVNQmrmGZSG";Get Outta My Heart;1
1;Benoist;playlist1 de Benoist;Playlist;Dossier11;"0y7VYuQbKKkiXp1xuNwSH8";Paradis;2
1;Benoist;playlist1 de Benoist;Playlist;Dossier11;"11ZdqNPKjLqPFHiJ0RdrJg";Cœur sous cadenas;3
1;Benoist;playlist1 de Benoist;Playlist;Dossier11;"2w7koyQcjo2S18eKSnApCz";Josephine - 2019 Remaster;4
1;Benoist;playlist1 de Benoist;Playlist;Dossier11;"2kWQlCYuLJPUgxxwlaESu8";Easier to Run - Live In Nottingham 2003;5
1;Benoist;playlist1 de Benoist;Playlist;Dossier11;"6nzlhkT1rxr6QwvebWWen7";Maradona 10;6
1;Benoist;playlist1 de Benoist;Playlist;Dossier11;"3MnLMvIlc1wJqKtp6HxOwX";Iverson;7
1;Benoist;playlist1 de Benoist;Playlist;Dossier11;"5PlemGdKGymY91Emm5xDbr";Toute l'année (feat. Timal);8
1;Benoist;playlist1 de Benoist;Playlist;Dossier11;"6HSO0pV9ky6eHdUpXpTMQj";Zéro paluche (feat. Tito);9
1;Benoist;playlist1 de Benoist;Playlist;Dossier11;"7KrqvIVh9Uam37G42MFXHD";Chosen Family;10
1;Benoist;playlist1 de Benoist;Playlist;Dossier11;"5oePa8PlOTPAlRaGs2OZ3A";Putana;11
1;Benoist;playlist1 de Benoist;Playlist;Dossier11;"1F6ddbfNMV0uHlsOQao0kC";R.A.S;12
1;Benoist;playlist1 de Benoist;Playlist;Dossier11;"1l4XLRKNpfizZFreNAc6DU";Love de moi;13
1;Benoist;playlist2 de Benoist;Playlist;Dossier12;"7ib5WSngi6lqYFgzzWgBVS";Born In A Prison - Remastered 2010;1
1;Benoist;playlist2 de Benoist;Playlist;Dossier12;"5oTbTzttP3kc1ySjZUpaUS";CAPO RESTE CAPO;2
1;Benoist;playlist2 de Benoist;Playlist;Dossier12;"27BgDmciSjoxTG0almHTpZ";Love To Lay;3
1;Benoist;playlist2 de Benoist;Playlist;Dossier12;"2HpgP7x3QbcX2RVXlELTxG";Bénéfice max;4
1;Benoist;playlist2 de Benoist;Playlist;Dossier12;"1KuPjp2SyimuFq2Hh62Tym";Underneath the Christmas Lights;5
1;Benoist;playlist2 de Benoist;Playlist;Dossier12;"4fuXnmmrbdYmzbxsf51eoO";Le fruit de mon époque;6
1;Benoist;playlist2 de Benoist;Playlist;Dossier12;"2ifu9ZT65WP1NCZnCUb9nJ";Booba;7
1;Benoist;playlist2 de Benoist;Playlist;Dossier12;"7knSZh89lL04llH73pDdrh";Tourner la page;8
1;Benoist;playlist2 de Benoist;Playlist;Dossier12;"1zJhKME0phSFx577DpKMGk";Madame;9
1;Benoist;playlist2 de Benoist;Playlist;Dossier12;"2AOxTtwXgEedLl7fzF2l2m";Le Ranch De Maria;10
1;Benoist;playlist2 de Benoist;Playlist;Dossier12;"26tzrpoNQ0yUUdfb6SNpec";Op Ganté;11
1;Benoist;playlist2 de Benoist;Playlist;Dossier12;"387yCeKQgJON67MA3a5w0e";Dis Moi Tout;12
1;Benoist;playlist2 de Benoist;Playlist;Dossier12;"08RRwNKVhIbW1Ol9RMs56L";Baby papa;13
1;Benoist;playlist2 de Benoist;Playlist;Dossier12;"42Yf5zsCpOlfVLkQjmI9qD";Cocoro;14
1;Benoist;playlist2 de Benoist;Playlist;Dossier12;"48iyBPH17heGMydx2XssFp";Plan séquence;15
